Year,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Referee,Home Team Initials,Away Team Initials
1958,Group 1,Malmo Stadion,Germany FR,2,2,Northern Ireland,FERNANDES CAMPOS Joaquim (POR),FRG,NIR
1958,Group 3,Jarnvallen,Hungary,4,0,Mexico,ERIKSSON Arne (FIN),HUN,MEX
1958,Group 2,Tunavallen,Paraguay,3,3,Yugoslavia,MACKO Martin (TCH),PAR,YUG
1958,Group 2,Eyravallen,France,2,1,Scotland,BROZZI Juan (ARG),FRA,SCO
1958,Group 4,Ryavallen,England,2,2,Austria,BRONKHORST Jan (NED),ENG,AUT
1958,Group 1,Olympia Stadium,Czechoslovakia,6,1,Argentina,ELLIS Arthur (ENG),TCH,ARG
1958,Group 4,Nya Ullevi,Soviet Union,1,0,England,DUSCH Albert (GER),URS,ENG
1958,Group 1,Malmo Stadion,Northern Ireland,2,1,Czechoslovakia,GUIGUE Maurice (FRA),NIR,TCH
1958,Group 3,Rasunda Stadium,Wales,2,1,Hungary,LATYCHEV Nikolaj (URS),WAL,HUN
1958,Quarter-finals,Nya Ullevi,Brazil,1,0,Wales,SEIPELT Fritz (AUT),BRA,WAL
1958,Quarter-finals,Malmo Stadion,Germany FR,1,0,Yugoslavia,WYSSLING Paul (SUI),FRG,YUG
1958,Quarter-finals,Rasunda Stadium,Sweden,2,0,Soviet Union,LEAFE Reginald (ENG),SWE,URS
1958,Quarter-finals,Idrottsparken,France,4,0,Northern Ireland,GARDEAZABAL Juan (ESP),FRA,NIR
1958,Semi-finals,Nya Ullevi,Sweden,3,1,Germany FR,ZSOLT Istvan (HUN),SWE,FRG
1958,Semi-finals,Rasunda Stadium,Brazil,5,2,France,GRIFFITHS Benjamin (WAL),BRA,FRA
1958,Match for third place,Nya Ullevi,France,6,3,Germany FR,BROZZI Juan (ARG),FRA,FRG
1958,Final,Rasunda Stadium,Brazil,5,2,Sweden,GUIGUE Maurice (FRA),BRA,SWE
1962,Group 1,Carlos Dittborn,Uruguay,2,1,Colombia,DOROGI Andor (HUN),URU,COL
1962,Group 3,Estadio Sausalito,Brazil,2,0,Mexico,DIENST Gottfried (SUI),BRA,MEX
1962,Group 4,Estadio El Teniente-Codelco,Argentina,1,0,Bulgaria,GARDEAZABAL Juan (ESP),ARG,BUL
1962,Group 2,Nacional,Chile,3,1,Switzerland,ASTON Ken (ENG),CHI,SUI
1962,Group 1,Carlos Dittborn,Soviet Union,2,0,Yugoslavia,DUSCH Albert (GER),URS,YUG
1962,Group 3,Estadio Sausalito,Czechoslovakia,1,0,Spain,STEINER Carl (AUT),TCH,ESP
1962,Group 4,Estadio El Teniente-Codelco,Hungary,2,1,England,HORN Leo (NED),HUN,ENG
1962,Group 2,Nacional,Germany FR,0,0,Italy,DAVIDSON Bob (SCO),FRG,ITA
1962,Group 1,Carlos Dittborn,Yugoslavia,3,1,Uruguay,GALBA Karol (TCH),YUG,URU
1962,Group 3,Estadio Sausalito,Brazil,0,0,Czechoslovakia,SCHWINTE Pierre (FRA),BRA,TCH
1962,Group 4,Estadio El Teniente-Codelco,England,3,1,Argentina,LATYCHEV Nikolaj (URS),ENG,ARG
1962,Group 2,Nacional,Chile,2,0,Italy,ASTON Ken (ENG),CHI,ITA
1962,Group 1,Carlos Dittborn,Soviet Union,4,4,Colombia,ETZEL FILHO Joao (BRA),URS,COL
